VISA	TITRE	RÉALISATEUR	GENRE	DEVIS
159817	Urban jungle	DE LORIOL Jean	Animation	20,587,697
154842	Orphelins (Les)	SCHNEIDER Olivier	Fiction	18,541,853
160940	Yoroi	TOMASZEWSKI David	Fiction	13,999,261
157312	Arco	BIENVENU Ugo	Animation	9,639,095
157166	Trésor de Kheops (Le)	SCHULZ Barbara	Fiction	9,474,551
156050	In waves	MAI NGUYEN Phuong	Animation	8,996,957
158746	A la recherche de l'or de Kadhafi	FERRARI Jeremy	Fiction	8,777,028
158212	Sidi Kaba et la porte du retour 	HOTIN Rony	Animation	8,729,082
162800	C'était mieux demain	MILLEREAU Vinciane	Fiction	8,491,818
162388	Maison des femmes (La)	GODET Melisa	Fiction	7,012,076
162859	Condés (Les)	DIT NORDINE SALHI Noureddine	Fiction	5,807,846
160762	Fils de 	ABASCALPEIRO Carlos	Fiction	5,768,145
155880	Partir un jour	BONNIN Amelie	Fiction	5,685,320
160046	Des jours meilleurs	BENNETT Elsa / DARD Hippolyte	Fiction	5,370,042
162308	Sur la route de papa	AITAKKAOUALI Nabil / DACOURT Olivier	Fiction	5,361,311
157943	Cent millions !	DUMONT Nath	Fiction	4,959,449
162879	Hasta la vista	PIRIOU Mael	Fiction	4,918,342
159974	Rêveurs (Les)	CARRE Isabelle	Fiction	4,830,319
162799	Chers parents	PATRON Emmanuel	Fiction	4,499,238
152549	Magistrate 	MAZINGARBE Pierre	Fiction	4,054,072
151738	Deux anges	RODIONOV Vladimir	Fiction	3,998,795
158726	N121	AISSAOUI Morade	Fiction	3,998,040
153424	Grand ciel	HATA Akihiro	Fiction	3,989,364
159442	Avignon	DIONNET Johann	Fiction	3,986,201
158856	Louise	KEITEL Nicolas	Fiction	3,772,058
162273	Talents d'Achille (Les)	MARLON Ged	Fiction	3,477,726
146419	Ferris Wheel	HOSMALIN Julien	Fiction	3,383,825
160040	Qui brille au combat	JAPY Josephine	Fiction	3,307,589
157319	Engloutie (L')	HEMON Louise	Fiction	3,209,222
157133	Comme des riches	HARFOUCH Amin	Fiction	3,188,850
160894	Poupée (La)	BEAULIEU Sophie	Fiction	3,173,651
160431	Des preuves d'amour	DOUARD Alice	Fiction	3,075,454
159816	Miss Mermaid	BRUNNER Pauline / VERLE Marion	Fiction	2,779,713
158111	Pieuses combines de Réginald (Les)	SAINT MARTIN Alberic	Fiction	2,698,110
147947	Prosper	GLOAGUEN Yohann	Fiction	2,638,307
160659	Nino	LOQUES Pauline	Fiction	2,590,750
156065	Filles du ciel	MCNEESE Berangere	Fiction	2,448,757
143004	Chèvres aussi s'évanouissent (Les)	REMOND Marie	Fiction	2,412,569
157954	Petite cuisine de Mehdi (La)	ADJINA Amine	Fiction	2,358,886
161061	Epreuve du feu (L')	PEYRE Aurélien	Fiction	1,895,006
159790	Mystérieux regard du flamand rose (Le)	CESPEDES Diego	Fiction	1,828,191
160044	Beau rôle (Le)	RODENBACH Victor	Fiction	1,824,876
159036	Filles désir (Les)	CAR Rose Princia	Fiction	1,807,947
154352	Encontro	MANCEAUX François	Fiction	1,735,893
159977	Lost in territories	SCHLOMO GILADI Nadav	Fiction	1,546,402
160047	Lastartup	GRAVELEAU Gilles	Fiction	1,472,674
162056	Maison du vent (La)	KOUERNO YANGHU Bernard Auguste	Fiction	1,200,000
159657	Papillon	ALSHANOVA Zhannat	Fiction	1,183,837
162766	Baleine et le musicien (La)	PAOLI Valentin	Documentaire	1,132,554
160456	Adieu monde cruel	LESUEUR DE GIVRY Felix	Fiction	1,127,358
158834	Kyma	DAUDET-JAHAN Romain	Fiction	1,120,276
162489	Imago	OUMAR PITSAEV Déni	Documentaire	1,112,512
152722	Gabin	VOISEUX Maxence	Documentaire	970,093
157486	Jours les plus intenses de Guido Kalb (Les)	USBERTI Tommaso	Fiction	918,174
161789	Cargo kids	ELLIS Thomas	Documentaire	673,048
160393	Jeux (Les)	CADIC Valentine	Fiction	647,166
152054	LE SILENCE DE SIBEL	YEGANEH Aly	Fiction	626,704
161031	Nos âmes libres	STEVENIN Salome	Documentaire	558,451
161084	Il était une fois Michel Legrand	HERTZOG DESSITES David	Documentaire	504,336
159291	Velasquez et le secret des Ménines	SORLAT Stephane	Documentaire	452,699
161803	Bonheur est dans la lutte (Le)	BESANCENOT Olivier	Documentaire	450,851
162817	Cas étrange de Ithzak-Meier Gitlis	TORDJMAN Gai	Documentaire	411,532
161598	Starting block	SABBAGH Ambroise	Documentaire	391,484
159452	Dieu peut se défendre tout seul	COTTENCEAU Isabelle	Documentaire	366,246
161764	Intramuros	GERBEHAYE Cedric	Documentaire	304,064
162670	Traversée (La)	WILLOCQ Hugo	Documentaire	291,840
160854	Naufragés du T1 (Les)	BENALLAL Medhi	Documentaire	279,598
163313	Majorana et les neutrinos	BEYNE Marie-Elise	Documentaire	252,225
162705	Petite graine (La)	RIFKISS Mathias / RIFKISS Colas	Fiction	188,051
161414	Bleau, l'autre monde	BEVILLARD Julien / DECLERCK Etienne	Documentaire	180,198
﻿
155370	Pets on a train	DAFFIS Benoît / TASSY Jean-Christian	Animation	10,335,933
159632	Hennedricks (Les)	ARNÉ Laurence	Fiction	8,498,399
152712	Amélie ou la métaphysique des tubes	HAN Liane-Cho / VALLADE Maïlys	Animation	8,166,923
156346	Ni chaînes ni maîtres	MOUTAIROU Simon	Fiction	7,973,949
157339	Un p'tit truc en plus	SOLARO Victor Artus	Fiction	6,714,614
159633	Noël au balcon	GOTTESDIENER Jeanne	Fiction	6,182,347
159323	Amour c'est surcoté (L')	WINTER Mourad	Fiction	6,143,306
156686	Prodigieuses (Les)	POTIER Frédéric / POTIER Valentin	Fiction	6,033,883
158574	Nouveaux Patrons (Les)	MAUROUX Max	Fiction	5,907,878
154883	Livre magique (Le)	LANDO Léa	Fiction	5,821,903
155958	Bambi, l'histoire d'une vie dans les bois	FESSLER Michel	Documentaire	5,620,413
154440	Little Jaffna	VALIN Lawrence	Fiction	5,370,330
158891	Nous, les Leroy	BERNARD Florent	Fiction	5,169,367
159795	Muganga	ROUX Marie-Hélène	Fiction	5,010,119
158285	Vermines	VANICEK Sébastien	Fiction	4,998,106
154047	Drone	BOUISSON Simon	Fiction	4,818,493
152175	Secret des mésanges (Le)	LANCIAUX Antoine	Animation	4,711,133
158879	Fille d'un grand amour (La)	DE SACY Agnès	Fiction	4,326,472
153759	Royaume (Le)	COLONNA Julien	Fiction	3,991,081
159584	Fantômes (Les)	MILLET Jonathan	Fiction	3,954,013
149997	Omar dans son château	MARHYAR Ali	Fiction	3,940,455
157499	Zion	FOIX Nelson	Fiction	3,848,994
158233	Niki	SALLETTE Céline	Fiction	3,744,547
160206	Vive les mariés	BLAYAU Elsa	Fiction	3,440,957
160021	Brûle le sang	POPKHADZE Akaki	Fiction	3,401,997
157202	Maman veut pu'	LUCILLY Grégory	Fiction	3,379,406
154431	Lads	MENANTEAU Julien	Fiction	3,315,763
151389	Bis repetita	NOBLET Emilie	Fiction	3,292,307
158190	Mona	BAILLY Anne-Sophie	Fiction	3,267,703
156815	Robot T-O	CALLEGARI Giulio	Fiction	3,232,499
149455	Esprit Coubertin (L') (ex : Village global)	SEIN Jérémie	Fiction	3,126,518
157510	Moi vivant, vous ne serez jamais morts	DEBRAUX Baptiste	Fiction	3,022,916
157345	Pampa (La)	CHEVROLLIER Antoine	Fiction	2,981,933
